perfil_incidente_31
n,x,y,luma
0,0.342,-1.001,117.7
1,0.335,-1.001,117.7
2,0.329,-1.001,117.7
3,0.322,-1.001,118.3
4,0.315,-1.001,118.8
5,0.309,-1.001,119.0
6,0.302,-1.001,119.5
7,0.295,-1.001,120.3
8,0.289,-1.001,120.3
9,0.282,-1.001,120.7
10,0.275,-1.001,120.7
11,0.269,-1.001,121.0
12,0.262,-1.001,121.9
13,0.255,-1.001,122.9
14,0.248,-1.001,124.1
15,0.242,-1.001,123.5
16,0.235,-1.001,122.9
17,0.228,-1.001,123.2
18,0.222,-1.001,124.5
19,0.215,-1.001,125.8
20,0.208,-1.001,127.0
21,0.202,-1.001,127.6
22,0.195,-1.001,128.7
23,0.188,-1.001,129.4
24,0.182,-1.001,130.0
25,0.175,-1.001,131.2
26,0.168,-1.001,132.4
27,0.162,-1.001,133.6
28,0.155,-1.001,134.0
29,0.148,-1.001,134.2
30,0.141,-1.001,134.2
31,0.135,-1.001,137.6
32,0.128,-1.001,140.8
33,0.121,-1.001,141.2
34,0.115,-1.001,143.7
35,0.108,-1.001,148.7
36,0.101,-1.001,153.8
37,9.466E-2,-1.001,156.9
38,8.797E-2,-1.001,158.7
39,8.128E-2,-1.001,161.7
40,7.459E-2,-1.001,165.5
41,6.791E-2,-1.001,168.8
42,6.122E-2,-1.001,177.2
43,5.453E-2,-1.001,182.5
44,4.784E-2,-1.001,186.0
45,4.115E-2,-1.001,187.3
46,3.446E-2,-1.001,188.3
47,2.777E-2,-1.001,190.8
48,2.108E-2,-1.001,189.8
49,1.440E-2,-1.001,187.4
50,7.707E-3,-1.001,187.2
51,1.019E-3,-1.001,189.6
52,-5.670E-3,-1.001,190.7
53,-1.236E-2,-1.001,190.4
54,-1.905E-2,-1.001,190.1
55,-2.574E-2,-1.001,189.6
56,-3.242E-2,-1.001,188.3
57,-3.911E-2,-1.001,184.7
58,-4.580E-2,-1.001,181.0
59,-5.249E-2,-1.001,178.5
60,-5.918E-2,-1.001,171.8
61,-6.587E-2,-1.001,167.7
62,-7.256E-2,-1.001,163.7
63,-7.924E-2,-1.001,160.5
64,-8.593E-2,-1.001,157.3
65,-9.262E-2,-1.001,158.0
66,-9.931E-2,-1.001,156.4
67,-0.106,-1.001,152.0
68,-0.113,-1.001,155.2
69,-0.119,-1.001,157.9
70,-0.126,-1.001,157.2
71,-0.133,-1.001,153.8
72,-0.139,-1.001,149.8
73,-0.146,-1.001,144.2
74,-0.153,-1.001,139.7
75,-0.160,-1.001,136.3
76,-0.166,-1.001,134.6
77,-0.173,-1.001,132.8
78,-0.180,-1.001,131.9
79,-0.186,-1.001,130.8
80,-0.193,-1.001,128.1
81,-0.200,-1.001,126.8
82,-0.206,-1.001,127.1
83,-0.213,-1.001,127.7
84,-0.220,-1.001,127.4
85,-0.226,-1.001,126.1
86,-0.233,-1.001,125.4
87,-0.240,-1.001,124.5
88,-0.246,-1.001,123.9
89,-0.253,-1.001,123.1
90,-0.260,-1.001,122.6
91,-0.267,-1.001,122.1
92,-0.273,-1.001,121.4
93,-0.280,-1.001,121.0
94,-0.287,-1.001,120.7
95,-0.293,-1.001,120.4
96,-0.300,-1.001,120.8
97,-0.307,-1.001,120.6
98,-0.313,-1.001,120.4
99,-0.320,-1.001,120.4
100,-0.327,-1.001,120.4
