perfil_reflejado_11
n,x,y,luma
0,0.258,1.067,119.7
1,0.250,1.067,118.8
2,0.241,1.067,119.0
3,0.233,1.067,119.5
4,0.225,1.067,119.6
5,0.217,1.067,119.5
6,0.208,1.067,119.1
7,0.200,1.067,119.1
8,0.192,1.067,119.1
9,0.184,1.067,119.1
10,0.176,1.067,119.6
11,0.167,1.067,120.4
12,0.159,1.067,121.4
13,0.151,1.067,122.4
14,0.143,1.067,124.2
15,0.134,1.067,125.5
16,0.126,1.067,127.0
17,0.118,1.067,128.6
18,0.110,1.067,129.2
19,0.102,1.067,127.4
20,9.334E-2,1.067,127.2
21,8.512E-2,1.067,129.1
22,7.690E-2,1.067,132.4
23,6.869E-2,1.067,134.8
24,6.047E-2,1.067,136.9
25,5.225E-2,1.067,140.5
26,4.403E-2,1.067,144.8
27,3.581E-2,1.067,147.1
28,2.759E-2,1.067,145.2
29,1.937E-2,1.067,146.5
30,1.115E-2,1.067,151.5
31,2.932E-3,1.067,159.3
32,-5.287E-3,1.067,164.4
33,-1.351E-2,1.067,167.2
34,-2.173E-2,1.067,168.0
35,-2.994E-2,1.067,168.9
36,-3.816E-2,1.067,165.1
37,-4.638E-2,1.067,152.2
38,-5.460E-2,1.067,144.8
39,-6.282E-2,1.067,140.2
40,-7.104E-2,1.067,139.6
41,-7.926E-2,1.067,138.2
42,-8.748E-2,1.067,134.3
43,-9.570E-2,1.067,131.2
44,-0.104,1.067,129.8
45,-0.112,1.067,129.0
46,-0.120,1.067,127.4
47,-0.129,1.067,126.9
48,-0.137,1.067,125.9
49,-0.145,1.067,125.1
50,-0.153,1.067,123.7
51,-0.161,1.067,123.1
52,-0.170,1.067,122.6
53,-0.178,1.067,122.3
54,-0.186,1.067,121.9
55,-0.194,1.067,121.4
56,-0.203,1.067,121.0
57,-0.211,1.067,120.8
58,-0.219,1.067,119.7
59,-0.227,1.067,118.9
60,-0.235,1.067,118.0
61,-0.244,1.067,118.0
62,-0.252,1.067,117.9
